DEBUG:unityagents:The true file name is Tennis
DEBUG:unityagents:This is the launch string /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Found path: /playground/envs/Tennis_Linux_NoVis/Tennis.x86_64
Mono path[0] = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/Managed'
Mono config path = '/playground/envs/Tennis_Linux_NoVis/Tennis_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies
PlayerPrefs - Creating folder: /root/.config/unity3d/Unity Technologies/Unity Environment
Logging to /root/.config/unity3d/Unity Technologies/Unity Environment/Player.log
INFO:unityagents:
'Academy' started successfully!
Unity Academy name: Academy
        Number of Brains: 1
        Number of External Brains : 1
        Lesson number : 0
        Reset Parameters :
		
Unity brain name: TennisBrain
        Number of Visual Observations (per agent): 0
        Vector Observation space type: continuous
        Vector Observation space size (per agent): 8
        Number of stacked Vector Observation: 3
        Vector Action space type: continuous
        Vector Action space size (per agent): 2
        Vector Action descriptions: , 
INFO:train.py:Episode 98/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 99/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: -inf, Steps: 14
INFO:train.py:Episode 100/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 101/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 102/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 103/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 104/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 105/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 106/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 107/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 108/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 109/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 110/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 111/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 112/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 113/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 114/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 115/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 116/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 117/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 118/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 119/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 120/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 121/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 122/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 123/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 124/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 125/2000: eps: 0.299, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 126/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 127/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 15
INFO:train.py:Episode 128/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 129/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
INFO:train.py:Episode 130/2000: eps: 0.298, Score: 0.000, Avg Score: 0.000, Best Avg Score: 0.000, Steps: 14
